url,label
http://www.bank-secure.com/home/8584,0
http://www.paypal.com/home/1008,1
https://www.paypal.com/account/1560,1
http://www.ebay.com/update/7476,1
https://www.paypal.com/login/8539,1
https://www.paypal.com/verify/7039,0
https://www.paypal.com/secure/9137,0
http://www.facebook.com/login/9753,1
http://www.ebay.com/login/5301,1
https://www.amazon.com/login/1602,1
https://www.bank-secure.com/update/9079,0
https://www.bank-secure.com/login/5960,1
http://www.bank-secure.com/home/3973,1
http://www.bank-secure.com/account/8989,0
http://www.bank-secure.com/secure/8554,0
https://www.paypal.com/account/5853,1
http://www.bank-secure.com/verify/5081,0
http://www.paypal.com/update/9847,1
http://www.facebook.com/secure/6288,1
https://www.google.com/verify/3005,0
http://www.ebay.com/login/3664,1
http://www.google.com/verify/1706,0
https://www.amazon.com/account/3968,0
http://www.amazon.com/update/7295,1
http://www.facebook.com/verify/4070,0
http://www.google.com/home/2154,1
https://www.bank-secure.com/secure/6639,0
https://www.google.com/home/3841,1
https://www.paypal.com/login/4259,1
https://www.ebay.com/login/6675,0
https://www.facebook.com/account/4757,0
http://www.facebook.com/verify/3695,0
https://www.google.com/home/2018,0
http://www.ebay.com/login/7211,0
http://www.facebook.com/update/9048,0
http://www.ebay.com/secure/1174,1
http://www.ebay.com/secure/3173,1
https://www.facebook.com/update/9536,1
http://www.paypal.com/account/4069,0
http://www.ebay.com/login/5378,1
http://www.bank-secure.com/verify/4934,0
http://www.ebay.com/login/5788,1
http://www.paypal.com/account/7708,0
https://www.ebay.com/update/6483,0
https://www.ebay.com/account/7877,1
https://www.facebook.com/secure/2933,1
http://www.bank-secure.com/secure/1113,1
https://www.bank-secure.com/home/3545,0
http://www.facebook.com/account/1900,1
http://www.ebay.com/secure/9136,0
http://www.amazon.com/update/9549,0
https://www.paypal.com/account/5904,0
http://www.facebook.com/secure/7206,1
https://www.facebook.com/secure/6722,1
http://www.amazon.com/login/9361,1
http://www.facebook.com/secure/6827,0
https://www.bank-secure.com/update/8976,1
https://www.google.com/update/5413,1
https://www.amazon.com/account/4413,0
https://www.google.com/login/4989,0
http://www.google.com/login/2919,1
https://www.amazon.com/update/3004,1
https://www.paypal.com/login/4955,0
http://www.facebook.com/login/7141,0
https://www.amazon.com/account/1093,0
https://www.paypal.com/update/6983,0
https://www.facebook.com/secure/3915,1
http://www.ebay.com/login/6135,0
https://www.amazon.com/update/5387,0
https://www.ebay.com/update/6160,0
https://www.google.com/secure/5349,0
https://www.amazon.com/home/4977,1
http://www.ebay.com/verify/4886,1
https://www.paypal.com/secure/7008,0
https://www.ebay.com/login/6460,1
http://www.amazon.com/secure/8059,0
http://www.ebay.com/update/3075,0
http://www.ebay.com/update/4129,0
https://www.paypal.com/account/1288,1
https://www.amazon.com/login/3175,0
